START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
3/3/2015,1:07 PM,1:07 PM,Blue Jays,Florida Auto Exchange Stadium,Local Radio: KDKA-FM 93.7,3/3/2015,3/3/2015,4:07 PM,4:07 PM
3/4/2015,1:05 PM,1:05 PM,Blue Jays,McKechnie Field,Local Radio: MLB.com,3/4/2015,3/4/2015,4:05 PM,4:05 PM
3/5/2015,1:05 PM,1:05 PM,Yankees,McKechnie Field,Local Radio: KDKA-FM 93.7,3/5/2015,3/5/2015,4:05 PM,4:05 PM
3/6/2015,7:05 PM,7:05 PM,Yankees,George M. Steinbrenner Field,Local Radio: KDKA-FM 93.7,3/6/2015,3/6/2015,10:05 PM,10:05 PM
3/7/2015,1:05 PM,1:05 PM,Rays,McKechnie Field,Local Radio: KDKA-FM 93.7,3/7/2015,3/7/2015,4:05 PM,4:05 PM
3/8/2015,1:07 PM,1:07 PM,Blue Jays,Florida Auto Exchange Stadium,Local Radio: KDKA-FM 93.7,3/8/2015,3/8/2015,4:07 PM,4:07 PM
3/9/2015,1:05 PM,1:05 PM,Twins,McKechnie Field,Local Radio: KDKA-FM 93.7,3/9/2015,3/9/2015,4:05 PM,4:05 PM
3/10/2015,1:05 PM,1:05 PM,Rays,Charlotte Sports Park,Local Radio: MLB.com,3/10/2015,3/10/2015,4:05 PM,4:05 PM
3/11/2015,1:05 PM,1:05 PM,Phillies,Bright House Field,,3/11/2015,3/11/2015,4:05 PM,4:05 PM
3/12/2015,1:05 PM,1:05 PM,Red Sox,McKechnie Field,,3/12/2015,3/12/2015,4:05 PM,4:05 PM
3/13/2015,1:05 PM,1:05 PM,Twins,McKechnie Field,,3/13/2015,3/13/2015,4:05 PM,4:05 PM
3/14/2015,1:05 PM,1:05 PM,Red Sox,JetBlue Park,Local Radio: KDKA-FM 93.7,3/14/2015,3/14/2015,4:05 PM,4:05 PM
3/15/2015,1:05 PM,1:05 PM,Orioles,McKechnie Field,Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7,3/15/2015,3/15/2015,4:05 PM,4:05 PM
3/17/2015,1:05 PM,1:05 PM,Astros,McKechnie Field,Local TV: ROOT SPORTS,3/17/2015,3/17/2015,4:05 PM,4:05 PM
3/18/2015,6:05 PM,6:05 PM,Tigers,McKechnie Field,Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7,3/18/2015,3/18/2015,9:05 PM,9:05 PM
3/19/2015,1:05 PM,1:05 PM,Orioles,Ed Smith Stadium,Local Radio: MLB.com,3/19/2015,3/19/2015,4:05 PM,4:05 PM
3/20/2015,1:05 PM,1:05 PM,Twins,CenturyLink Sports Complex,Local Radio: KDKA-FM 93.7 -- MLB.com,3/20/2015,3/20/2015,4:05 PM,4:05 PM
3/20/2015,1:05 PM,1:05 PM,Phillies,McKechnie Field,Local Radio: MLB.com,3/20/2015,3/20/2015,4:05 PM,4:05 PM
3/21/2015,1:05 PM,1:05 PM,Red Sox,McKechnie Field,Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7,3/21/2015,3/21/2015,4:05 PM,4:05 PM
3/22/2015,1:05 PM,1:05 PM,Astros,Osceola County Stadium,Local Radio: KDKA-FM 93.7,3/22/2015,3/22/2015,4:05 PM,4:05 PM
3/23/2015,1:05 PM,1:05 PM,Rays,Charlotte Sports Park,Local Radio: MLB.com,3/23/2015,3/23/2015,4:05 PM,4:05 PM
3/24/2015,1:05 PM,1:05 PM,Orioles,McKechnie Field,Local Radio: MLB.com,3/24/2015,3/24/2015,4:05 PM,4:05 PM
3/26/2015,1:05 PM,1:05 PM,Braves,McKechnie Field,Local Radio: MLB.com,3/26/2015,3/26/2015,4:05 PM,4:05 PM
3/27/2015,1:05 PM,1:05 PM,Twins,CenturyLink Sports Complex,Local Radio: MLB.com,3/27/2015,3/27/2015,4:05 PM,4:05 PM
3/28/2015,1:05 PM,1:05 PM,Blue Jays,McKechnie Field,Local Radio: KDKA-FM 93.7,3/28/2015,3/28/2015,4:05 PM,4:05 PM
3/29/2015,1:05 PM,1:05 PM,Braves,Champion Stadium,Local Radio: KDKA-FM 93.7,3/29/2015,3/29/2015,4:05 PM,4:05 PM
3/30/2015,1:05 PM,1:05 PM,Phillies,McKechnie Field,Local Radio: MLB.com,3/30/2015,3/30/2015,4:05 PM,4:05 PM
3/31/2015,1:05 PM,1:05 PM,Tigers,Joker Marchant Stadium,Local Radio: MLB.com,3/31/2015,3/31/2015,4:05 PM,4:05 PM
4/1/2015,7:05 PM,7:05 PM,Orioles,Ed Smith Stadium,Local Radio: KDKA-FM 93.7,4/1/2015,4/1/2015,10:05 PM,10:05 PM
4/2/2015,1:05 PM,1:05 PM,Yankees,George M. Steinbrenner Field,Local Radio: MLB.com,4/2/2015,4/2/2015,4:05 PM,4:05 PM
4/3/2015,7:05 PM,7:05 PM,Phillies,Citizens Bank Park,Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7,4/3/2015,4/3/2015,10:05 PM,10:05 PM
4/4/2015,1:05 PM,1:05 PM,Phillies,Citizens Bank Park,Local Radio: KDKA-FM 93.7,4/4/2015,4/4/2015,4:05 PM,4:05 PM
4/6/2015,4:10 PM,4:10 PM,Reds,Great American Ball Park,,4/6/2015,4/6/2015,7:10 PM,7:10 PM
4/8/2015,7:10 PM,7:10 PM,Reds,Great American Ball Park,,4/8/2015,4/8/2015,10:10 PM,10:10 PM
4/9/2015,12:35 PM,12:35 PM,Reds,Great American Ball Park,,4/9/2015,4/9/2015,3:35 PM,3:35 PM
4/10/2015,8:10 PM,8:10 PM,Brewers,Miller Park,,4/10/2015,4/10/2015,11:10 PM,11:10 PM
4/11/2015,7:10 PM,7:10 PM,Brewers,Miller Park,,4/11/2015,4/11/2015,10:10 PM,10:10 PM
4/12/2015,2:10 PM,2:10 PM,Brewers,Miller Park,,4/12/2015,4/12/2015,5:10 PM,5:10 PM
4/13/2015,1:35 PM,1:35 PM,Tigers,PNC Park,,4/13/2015,4/13/2015,4:35 PM,4:35 PM
4/14/2015,7:05 PM,7:05 PM,Tigers,PNC Park,,4/14/2015,4/14/2015,10:05 PM,10:05 PM
4/15/2015,7:05 PM,7:05 PM,Tigers,PNC Park,,4/15/2015,4/15/2015,10:05 PM,10:05 PM
4/17/2015,7:05 PM,7:05 PM,Brewers,PNC Park,,4/17/2015,4/17/2015,10:05 PM,10:05 PM
4/18/2015,7:05 PM,7:05 PM,Brewers,PNC Park,,4/18/2015,4/18/2015,10:05 PM,10:05 PM
4/19/2015,1:35 PM,1:35 PM,Brewers,PNC Park,,4/19/2015,4/19/2015,4:35 PM,4:35 PM
4/20/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,4/20/2015,4/20/2015,10:05 PM,10:05 PM
4/21/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,4/21/2015,4/21/2015,10:05 PM,10:05 PM
4/22/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,4/22/2015,4/22/2015,10:05 PM,10:05 PM
4/23/2015,12:35 PM,12:35 PM,Cubs,PNC Park,,4/23/2015,4/23/2015,3:35 PM,3:35 PM
4/24/2015,9:40 PM,9:40 PM,D-backs,Chase Field,,4/25/2015,4/25/2015,12:40 AM,12:40 AM
4/25/2015,8:10 PM,8:10 PM,D-backs,Chase Field,,4/25/2015,4/25/2015,11:10 PM,11:10 PM
4/26/2015,4:10 PM,4:10 PM,D-backs,Chase Field,,4/26/2015,4/26/2015,7:10 PM,7:10 PM
4/27/2015,8:05 PM,8:05 PM,Cubs,Wrigley Field,,4/27/2015,4/27/2015,11:05 PM,11:05 PM
4/28/2015,8:05 PM,8:05 PM,Cubs,Wrigley Field,,4/28/2015,4/28/2015,11:05 PM,11:05 PM
4/29/2015,8:05 PM,8:05 PM,Cubs,Wrigley Field,,4/29/2015,4/29/2015,11:05 PM,11:05 PM
5/1/2015,8:15 PM,8:15 PM,Cardinals,Busch Stadium,,5/1/2015,5/1/2015,11:15 PM,11:15 PM
5/2/2015,2:15 PM,2:15 PM,Cardinals,Busch Stadium,,5/2/2015,5/2/2015,5:15 PM,5:15 PM
5/3/2015,2:15 PM,2:15 PM,Cardinals,Busch Stadium,,5/3/2015,5/3/2015,5:15 PM,5:15 PM
5/5/2015,7:05 PM,7:05 PM,Reds,PNC Park,,5/5/2015,5/5/2015,10:05 PM,10:05 PM
5/6/2015,7:05 PM,7:05 PM,Reds,PNC Park,,5/6/2015,5/6/2015,10:05 PM,10:05 PM
5/7/2015,7:05 PM,7:05 PM,Reds,PNC Park,,5/7/2015,5/7/2015,10:05 PM,10:05 PM
5/8/2015,7:05 PM,7:05 PM,Cardinals,PNC Park,,5/8/2015,5/8/2015,10:05 PM,10:05 PM
5/9/2015,7:05 PM,7:05 PM,Cardinals,PNC Park,,5/9/2015,5/9/2015,10:05 PM,10:05 PM
5/10/2015,1:35 PM,1:35 PM,Cardinals,PNC Park,,5/10/2015,5/10/2015,4:35 PM,4:35 PM
5/11/2015,7:05 PM,7:05 PM,Phillies,Citizens Bank Park,,5/11/2015,5/11/2015,10:05 PM,10:05 PM
5/12/2015,7:05 PM,7:05 PM,Phillies,Citizens Bank Park,,5/12/2015,5/12/2015,10:05 PM,10:05 PM
5/13/2015,7:05 PM,7:05 PM,Phillies,Citizens Bank Park,,5/13/2015,5/13/2015,10:05 PM,10:05 PM
5/14/2015,1:05 PM,1:05 PM,Phillies,Citizens Bank Park,,5/14/2015,5/14/2015,4:05 PM,4:05 PM
5/15/2015,2:20 PM,2:20 PM,Cubs,Wrigley Field,,5/15/2015,5/15/2015,5:20 PM,5:20 PM
5/16/2015,4:05 PM,4:05 PM,Cubs,Wrigley Field,,5/16/2015,5/16/2015,7:05 PM,7:05 PM
5/17/2015,2:20 PM,2:20 PM,Cubs,Wrigley Field,,5/17/2015,5/17/2015,5:20 PM,5:20 PM
5/19/2015,7:05 PM,7:05 PM,Twins,PNC Park,,5/19/2015,5/19/2015,10:05 PM,10:05 PM
5/20/2015,7:05 PM,7:05 PM,Twins,PNC Park,,5/20/2015,5/20/2015,10:05 PM,10:05 PM
5/22/2015,7:05 PM,7:05 PM,Mets,PNC Park,,5/22/2015,5/22/2015,10:05 PM,10:05 PM
5/23/2015,4:05 PM,4:05 PM,Mets,PNC Park,,5/23/2015,5/23/2015,7:05 PM,7:05 PM
5/24/2015,1:35 PM,1:35 PM,Mets,PNC Park,,5/24/2015,5/24/2015,4:35 PM,4:35 PM
5/25/2015,7:05 PM,7:05 PM,Marlins,PNC Park,,5/25/2015,5/25/2015,10:05 PM,10:05 PM
5/26/2015,7:05 PM,7:05 PM,Marlins,PNC Park,,5/26/2015,5/26/2015,10:05 PM,10:05 PM
5/27/2015,12:35 PM,12:35 PM,Marlins,PNC Park,,5/27/2015,5/27/2015,3:35 PM,3:35 PM
5/28/2015,3:33 AM,3:33 AM,Padres,Petco Park,,5/28/2015,5/28/2015,6:33 AM,6:33 AM
5/29/2015,3:33 AM,3:33 AM,Padres,Petco Park,,5/29/2015,5/29/2015,6:33 AM,6:33 AM
5/30/2015,3:33 AM,3:33 AM,Padres,Petco Park,,5/30/2015,5/30/2015,6:33 AM,6:33 AM
5/31/2015,3:33 AM,3:33 AM,Padres,Petco Park,,5/31/2015,5/31/2015,6:33 AM,6:33 AM
6/1/2015,10:15 PM,10:15 PM,Giants,AT&T Park,,6/2/2015,6/2/2015,1:15 AM,1:15 AM
6/2/2015,10:15 PM,10:15 PM,Giants,AT&T Park,,6/3/2015,6/3/2015,1:15 AM,1:15 AM
6/3/2015,3:45 PM,3:45 PM,Giants,AT&T Park,,6/3/2015,6/3/2015,6:45 PM,6:45 PM
6/5/2015,7:35 PM,7:35 PM,Braves,Turner Field,,6/5/2015,6/5/2015,10:35 PM,10:35 PM
6/6/2015,7:10 PM,7:10 PM,Braves,Turner Field,,6/6/2015,6/6/2015,10:10 PM,10:10 PM
6/7/2015,1:35 PM,1:35 PM,Braves,Turner Field,,6/7/2015,6/7/2015,4:35 PM,4:35 PM
6/8/2015,7:05 PM,7:05 PM,Brewers,PNC Park,,6/8/2015,6/8/2015,10:05 PM,10:05 PM
6/9/2015,7:05 PM,7:05 PM,Brewers,PNC Park,,6/9/2015,6/9/2015,10:05 PM,10:05 PM
6/10/2015,7:05 PM,7:05 PM,Brewers,PNC Park,,6/10/2015,6/10/2015,10:05 PM,10:05 PM
6/12/2015,7:05 PM,7:05 PM,Phillies,PNC Park,,6/12/2015,6/12/2015,10:05 PM,10:05 PM
6/13/2015,4:05 PM,4:05 PM,Phillies,PNC Park,,6/13/2015,6/13/2015,7:05 PM,7:05 PM
6/14/2015,1:35 PM,1:35 PM,Phillies,PNC Park,,6/14/2015,6/14/2015,4:35 PM,4:35 PM
6/15/2015,7:05 PM,7:05 PM,White Sox,PNC Park,,6/15/2015,6/15/2015,10:05 PM,10:05 PM
6/16/2015,7:05 PM,7:05 PM,White Sox,PNC Park,,6/16/2015,6/16/2015,10:05 PM,10:05 PM
6/17/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,,6/17/2015,6/17/2015,6:33 AM,6:33 AM
6/18/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,,6/18/2015,6/18/2015,6:33 AM,6:33 AM
6/19/2015,7:05 PM,7:05 PM,Nationals,Nationals Park,,6/19/2015,6/19/2015,10:05 PM,10:05 PM
6/20/2015,4:05 PM,4:05 PM,Nationals,Nationals Park,,6/20/2015,6/20/2015,7:05 PM,7:05 PM
6/21/2015,1:35 PM,1:35 PM,Nationals,Nationals Park,,6/21/2015,6/21/2015,4:35 PM,4:35 PM
6/23/2015,7:05 PM,7:05 PM,Reds,PNC Park,,6/23/2015,6/23/2015,10:05 PM,10:05 PM
6/24/2015,7:05 PM,7:05 PM,Reds,PNC Park,,6/24/2015,6/24/2015,10:05 PM,10:05 PM
6/25/2015,7:05 PM,7:05 PM,Reds,PNC Park,,6/25/2015,6/25/2015,10:05 PM,10:05 PM
6/26/2015,7:05 PM,7:05 PM,Braves,PNC Park,,6/26/2015,6/26/2015,10:05 PM,10:05 PM
6/27/2015,4:05 PM,4:05 PM,Braves,PNC Park,,6/27/2015,6/27/2015,7:05 PM,7:05 PM
6/28/2015,1:35 PM,1:35 PM,Braves,PNC Park,,6/28/2015,6/28/2015,4:35 PM,4:35 PM
6/30/2015,7:08 PM,7:08 PM,Tigers,Comerica Park,,6/30/2015,6/30/2015,10:08 PM,10:08 PM
7/1/2015,7:08 PM,7:08 PM,Tigers,Comerica Park,,7/1/2015,7/1/2015,10:08 PM,10:08 PM
7/2/2015,1:08 PM,1:08 PM,Tigers,Comerica Park,,7/2/2015,7/2/2015,4:08 PM,4:08 PM
7/3/2015,7:05 PM,7:05 PM,Indians,PNC Park,,7/3/2015,7/3/2015,10:05 PM,10:05 PM
7/4/2015,4:05 PM,4:05 PM,Indians,PNC Park,,7/4/2015,7/4/2015,7:05 PM,7:05 PM
7/5/2015,1:35 PM,1:35 PM,Indians,PNC Park,,7/5/2015,7/5/2015,4:35 PM,4:35 PM
7/6/2015,7:05 PM,7:05 PM,Padres,PNC Park,,7/6/2015,7/6/2015,10:05 PM,10:05 PM
7/7/2015,7:05 PM,7:05 PM,Padres,PNC Park,,7/7/2015,7/7/2015,10:05 PM,10:05 PM
7/8/2015,7:05 PM,7:05 PM,Padres,PNC Park,,7/8/2015,7/8/2015,10:05 PM,10:05 PM
7/9/2015,7:05 PM,7:05 PM,Cardinals,PNC Park,,7/9/2015,7/9/2015,10:05 PM,10:05 PM
7/10/2015,7:05 PM,7:05 PM,Cardinals,PNC Park,,7/10/2015,7/10/2015,10:05 PM,10:05 PM
7/11/2015,4:05 PM,4:05 PM,Cardinals,PNC Park,,7/11/2015,7/11/2015,7:05 PM,7:05 PM
7/12/2015,1:35 PM,1:35 PM,Cardinals,PNC Park,,7/12/2015,7/12/2015,4:35 PM,4:35 PM
7/14/2015,3:33 AM,3:33 AM,AL All-Stars at NL All-Stars,Great American Ball Park,,7/14/2015,7/14/2015,6:33 AM,6:33 AM
7/17/2015,8:10 PM,8:10 PM,Brewers,Miller Park,,7/17/2015,7/17/2015,11:10 PM,11:10 PM
7/18/2015,7:10 PM,7:10 PM,Brewers,Miller Park,,7/18/2015,7/18/2015,10:10 PM,10:10 PM
7/19/2015,2:10 PM,2:10 PM,Brewers,Miller Park,,7/19/2015,7/19/2015,5:10 PM,5:10 PM
7/20/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,,7/20/2015,7/20/2015,6:33 AM,6:33 AM
7/21/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,,7/21/2015,7/21/2015,6:33 AM,6:33 AM
7/22/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,,7/22/2015,7/22/2015,6:33 AM,6:33 AM
7/23/2015,7:05 PM,7:05 PM,Nationals,PNC Park,,7/23/2015,7/23/2015,10:05 PM,10:05 PM
7/24/2015,7:05 PM,7:05 PM,Nationals,PNC Park,,7/24/2015,7/24/2015,10:05 PM,10:05 PM
7/25/2015,7:05 PM,7:05 PM,Nationals,PNC Park,,7/25/2015,7/25/2015,10:05 PM,10:05 PM
7/26/2015,1:35 PM,1:35 PM,Nationals,PNC Park,,7/26/2015,7/26/2015,4:35 PM,4:35 PM
7/28/2015,8:10 PM,8:10 PM,Twins,Target Field,,7/28/2015,7/28/2015,11:10 PM,11:10 PM
7/29/2015,1:10 PM,1:10 PM,Twins,Target Field,,7/29/2015,7/29/2015,4:10 PM,4:10 PM
7/30/2015,7:10 PM,7:10 PM,Reds,Great American Ball Park,,7/30/2015,7/30/2015,10:10 PM,10:10 PM
7/31/2015,7:10 PM,7:10 PM,Reds,Great American Ball Park,,7/31/2015,7/31/2015,10:10 PM,10:10 PM
8/1/2015,3:33 AM,3:33 AM,Reds,Great American Ball Park,,8/1/2015,8/1/2015,6:33 AM,6:33 AM
8/2/2015,1:10 PM,1:10 PM,Reds,Great American Ball Park,,8/2/2015,8/2/2015,4:10 PM,4:10 PM
8/3/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,8/3/2015,8/3/2015,10:05 PM,10:05 PM
8/4/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,8/4/2015,8/4/2015,10:05 PM,10:05 PM
8/5/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,8/5/2015,8/5/2015,10:05 PM,10:05 PM
8/7/2015,7:05 PM,7:05 PM,Dodgers,PNC Park,,8/7/2015,8/7/2015,10:05 PM,10:05 PM
8/8/2015,7:05 PM,7:05 PM,Dodgers,PNC Park,,8/8/2015,8/8/2015,10:05 PM,10:05 PM
8/9/2015,1:35 PM,1:35 PM,Dodgers,PNC Park,,8/9/2015,8/9/2015,4:35 PM,4:35 PM
8/11/2015,8:15 PM,8:15 PM,Cardinals,Busch Stadium,,8/11/2015,8/11/2015,11:15 PM,11:15 PM
8/12/2015,8:15 PM,8:15 PM,Cardinals,Busch Stadium,,8/12/2015,8/12/2015,11:15 PM,11:15 PM
8/13/2015,7:15 PM,7:15 PM,Cardinals,Busch Stadium,,8/13/2015,8/13/2015,10:15 PM,10:15 PM
8/14/2015,7:10 PM,7:10 PM,Mets,Citi Field,,8/14/2015,8/14/2015,10:10 PM,10:10 PM
8/15/2015,7:10 PM,7:10 PM,Mets,Citi Field,,8/15/2015,8/15/2015,10:10 PM,10:10 PM
8/16/2015,1:10 PM,1:10 PM,Mets,Citi Field,,8/16/2015,8/16/2015,4:10 PM,4:10 PM
8/17/2015,7:05 PM,7:05 PM,D-backs,PNC Park,,8/17/2015,8/17/2015,10:05 PM,10:05 PM
8/18/2015,7:05 PM,7:05 PM,D-backs,PNC Park,,8/18/2015,8/18/2015,10:05 PM,10:05 PM
8/19/2015,7:05 PM,7:05 PM,D-backs,PNC Park,,8/19/2015,8/19/2015,10:05 PM,10:05 PM
8/20/2015,7:05 PM,7:05 PM,Giants,PNC Park,,8/20/2015,8/20/2015,10:05 PM,10:05 PM
8/21/2015,7:05 PM,7:05 PM,Giants,PNC Park,,8/21/2015,8/21/2015,10:05 PM,10:05 PM
8/22/2015,7:05 PM,7:05 PM,Giants,PNC Park,,8/22/2015,8/22/2015,10:05 PM,10:05 PM
8/23/2015,1:35 PM,1:35 PM,Giants,PNC Park,,8/23/2015,8/23/2015,4:35 PM,4:35 PM
8/24/2015,7:10 PM,7:10 PM,Marlins,Marlins Park,,8/24/2015,8/24/2015,10:10 PM,10:10 PM
8/25/2015,7:10 PM,7:10 PM,Marlins,Marlins Park,,8/25/2015,8/25/2015,10:10 PM,10:10 PM
8/26/2015,7:10 PM,7:10 PM,Marlins,Marlins Park,,8/26/2015,8/26/2015,10:10 PM,10:10 PM
8/27/2015,7:10 PM,7:10 PM,Marlins,Marlins Park,,8/27/2015,8/27/2015,10:10 PM,10:10 PM
8/28/2015,7:05 PM,7:05 PM,Rockies,PNC Park,,8/28/2015,8/28/2015,10:05 PM,10:05 PM
8/29/2015,7:05 PM,7:05 PM,Rockies,PNC Park,,8/29/2015,8/29/2015,10:05 PM,10:05 PM
8/30/2015,1:35 PM,1:35 PM,Rockies,PNC Park,,8/30/2015,8/30/2015,4:35 PM,4:35 PM
9/1/2015,8:10 PM,8:10 PM,Brewers,Miller Park,,9/1/2015,9/1/2015,11:10 PM,11:10 PM
9/2/2015,8:10 PM,8:10 PM,Brewers,Miller Park,,9/2/2015,9/2/2015,11:10 PM,11:10 PM
9/3/2015,7:20 PM,7:20 PM,Brewers,Miller Park,,9/3/2015,9/3/2015,10:20 PM,10:20 PM
9/4/2015,8:15 PM,8:15 PM,Cardinals,Busch Stadium,,9/4/2015,9/4/2015,11:15 PM,11:15 PM
9/5/2015,4:05 PM,4:05 PM,Cardinals,Busch Stadium,,9/5/2015,9/5/2015,7:05 PM,7:05 PM
9/6/2015,2:15 PM,2:15 PM,Cardinals,Busch Stadium,,9/6/2015,9/6/2015,5:15 PM,5:15 PM
9/7/2015,1:10 PM,1:10 PM,Reds,Great American Ball Park,,9/7/2015,9/7/2015,4:10 PM,4:10 PM
9/8/2015,7:10 PM,7:10 PM,Reds,Great American Ball Park,,9/8/2015,9/8/2015,10:10 PM,10:10 PM
9/9/2015,7:10 PM,7:10 PM,Reds,Great American Ball Park,,9/9/2015,9/9/2015,10:10 PM,10:10 PM
9/10/2015,7:05 PM,7:05 PM,Brewers,PNC Park,,9/10/2015,9/10/2015,10:05 PM,10:05 PM
9/11/2015,7:05 PM,7:05 PM,Brewers,PNC Park,,9/11/2015,9/11/2015,10:05 PM,10:05 PM
9/12/2015,7:05 PM,7:05 PM,Brewers,PNC Park,,9/12/2015,9/12/2015,10:05 PM,10:05 PM
9/13/2015,1:35 PM,1:35 PM,Brewers,PNC Park,,9/13/2015,9/13/2015,4:35 PM,4:35 PM
9/15/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,9/15/2015,9/15/2015,10:05 PM,10:05 PM
9/16/2015,7:05 PM,7:05 PM,Cubs,PNC Park,,9/16/2015,9/16/2015,10:05 PM,10:05 PM
9/17/2015,12:35 PM,12:35 PM,Cubs,PNC Park,,9/17/2015,9/17/2015,3:35 PM,3:35 PM
9/18/2015,10:10 PM,10:10 PM,Dodgers,Dodger Stadium,,9/19/2015,9/19/2015,1:10 AM,1:10 AM
9/19/2015,9:10 PM,9:10 PM,Dodgers,Dodger Stadium,,9/20/2015,9/20/2015,12:10 AM,12:10 AM
9/20/2015,4:10 PM,4:10 PM,Dodgers,Dodger Stadium,,9/20/2015,9/20/2015,7:10 PM,7:10 PM
9/21/2015,8:40 PM,8:40 PM,Rockies,Coors Field,,9/21/2015,9/21/2015,11:40 PM,11:40 PM
9/22/2015,8:40 PM,8:40 PM,Rockies,Coors Field,,9/22/2015,9/22/2015,11:40 PM,11:40 PM
9/23/2015,8:40 PM,8:40 PM,Rockies,Coors Field,,9/23/2015,9/23/2015,11:40 PM,11:40 PM
9/24/2015,3:10 PM,3:10 PM,Rockies,Coors Field,,9/24/2015,9/24/2015,6:10 PM,6:10 PM
9/25/2015,2:20 PM,2:20 PM,Cubs,Wrigley Field,,9/25/2015,9/25/2015,5:20 PM,5:20 PM
9/26/2015,3:33 AM,3:33 AM,Cubs,Wrigley Field,,9/26/2015,9/26/2015,6:33 AM,6:33 AM
9/27/2015,3:33 AM,3:33 AM,Cubs,Wrigley Field,,9/27/2015,9/27/2015,6:33 AM,6:33 AM
9/28/2015,7:05 PM,7:05 PM,Cardinals,PNC Park,,9/28/2015,9/28/2015,10:05 PM,10:05 PM
9/29/2015,7:05 PM,7:05 PM,Cardinals,PNC Park,,9/29/2015,9/29/2015,10:05 PM,10:05 PM
9/30/2015,7:05 PM,7:05 PM,Cardinals,PNC Park,,9/30/2015,9/30/2015,10:05 PM,10:05 PM
10/2/2015,7:05 PM,7:05 PM,Reds,PNC Park,,10/2/2015,10/2/2015,10:05 PM,10:05 PM
10/3/2015,7:05 PM,7:05 PM,Reds,PNC Park,,10/3/2015,10/3/2015,10:05 PM,10:05 PM
10/4/2015,1:35 PM,1:35 PM,Reds,PNC Park,,10/4/2015,10/4/2015,4:35 PM,4:35 PM